stock1,stock2,p_value,ADF_stat
600410,300150,1.4346612401836408e-06,-5.575584999411762
300523,000555,2.3998722769222117e-06,-5.4709139782901115
300150,300166,2.78822789483892e-06,-5.440129295353836
688365,002474,9.782570862943368e-06,-5.1772527745692205
000676,300231,1.221060315893382e-05,-5.129760385714593
688365,002649,1.761672815470955e-05,-5.05047055915522
688365,300170,1.9553443377586237e-05,-5.027726008947522
300523,002291,2.2264367858269137e-05,-4.99929694933491
300250,002657,2.356597505543315e-05,-4.986815041348073
600756,300166,2.7145490072318686e-05,-4.955638256634236
688365,300271,2.8059387025031354e-05,-4.948314551998905
688365,300592,3.990750460151783e-05,-4.86984362262037
300523,300464,4.8846614940671266e-05,-4.82433487173018
688365,300288,4.9705221036801444e-05,-4.820394557325879
688365,000555,4.990119270264417e-05,-4.819504369266488
688365,600131,5.2385645387500306e-05,-4.808500964389073
688365,603918,5.3887867047627185e-05,-4.802088314659143
688365,300231,5.460591433768808e-05,-4.7990835051176255
300523,300271,5.757844120666122e-05,-4.787034831431681
688365,300017,6.375388145084745e-05,-4.763803080357776
688365,002195,6.99145396162783e-05,-4.742684751726653
300523,300846,7.21494290409382e-05,-4.73546236067077
688365,002095,8.344370287573981e-05,-4.701955911510437
688365,000676,8.558551366281881e-05,-4.696095617108852
600410,002131,8.90117932483421e-05,-4.687006487928428
000555,300271,9.443723663635946e-05,-4.673277003915036
600571,002232,9.692975107918065e-05,-4.667220668657578
688365,300250,0.00010776526860633618,-4.642513344415339
300523,300168,0.00011676315089400644,-4.623738462217099
300250,002095,0.00012485302560369749,-4.608002486588365
000555,300464,0.00014851083204624836,-4.5670170987308545
300523,300872,0.00016744365435700625,-4.538481239725453
600410,300846,0.00017353322271480417,-4.529954358202719
300168,000555,0.00017791294798044015,-4.523996044731931
688004,002777,0.00018608073011088829,-4.513248093766359
000676,600571,0.00018794107199424938,-4.5108629352319785
300295,300231,0.00020041039088111135,-4.495432845109414
300295,300399,0.00020192380126254827,-4.493622614072905
300523,300592,0.00025590039266893007,-4.436273022696666
002649,002095,0.00028747014287009765,-4.407858356288147
688365,002657,0.0002929706685233431,-4.40321263787741
002232,600131,0.000322765091599044,-4.379401057756878
688365,300264,0.00032735908683792964,-4.37591625849747
300523,002232,0.0003301322505606806,-4.373835009792635
300078,002291,0.00035286951054912203,-4.357369300241677
688365,002264,0.0003533309297176176,-4.3570456622588445
300523,002474,0.0003570105722606915,-4.354478991682384
300250,002232,0.00038203236987744885,-4.337661645462166
688365,002331,0.0003935058940939317,-4.330295941163924
600410,300166,0.000395910853230738,-4.32877779204497
300523,002095,0.00041076393377777247,-4.319590457252577
300523,300231,0.0004434428018520995,-4.300434824716665
300523,600571,0.0004507400453713871,-4.2963399306788865
300287,300248,0.0004508759506118785,-4.29626426190537
300464,300271,0.0004914955156753075,-4.274560215977247
300523,300166,0.0005115104686549871,-4.264481228402898
002591,002609,0.0005502673345693965,-4.2459791724861065
300523,002777,0.0005724296093333511,-4.235943869371869
