date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2020-09-11,300448,10.19,10.85,11.11,10.19,320490,341506228.0,8.84,4.23,0.44,6.9
2020-09-14,300448,11.02,11.8,11.92,10.92,460522,532779100.0,9.22,8.76,0.95,9.91
2020-09-15,300448,11.91,11.57,12.06,11.39,293754,341072049.0,5.68,-1.95,-0.23,6.32
2020-09-16,300448,11.3,10.89,11.3,10.6,317968,345895474.0,6.05,-5.88,-0.68,6.84
2020-09-17,300448,11.0,11.01,11.19,10.78,236139,258971392.0,3.76,1.1,0.12,5.08
2020-09-18,300448,10.97,10.94,11.13,10.81,161042,176361971.0,2.91,-0.64,-0.07,3.47
2020-09-21,300448,10.92,11.1,11.27,10.87,202730,223737059.0,3.66,1.46,0.16,4.36
2020-09-22,300448,10.95,10.69,11.04,10.65,151536,164327285.0,3.51,-3.69,-0.41,3.26
2020-09-23,300448,10.66,10.77,10.92,10.56,112610,121246160.0,3.37,0.75,0.08,2.42
2020-09-24,300448,10.7,10.31,10.71,10.3,126951,133254059.0,3.81,-4.27,-0.46,2.73
2020-09-25,300448,10.37,10.33,10.47,10.08,95084,97734875.0,3.78,0.19,0.02,2.05
2020-09-28,300448,10.32,10.01,10.34,9.88,117970,118659958.0,4.45,-3.1,-0.32,2.54
2020-09-29,300448,10.05,10.08,10.31,9.99,111271,113303861.0,3.2,0.7,0.07,2.39
2020-09-30,300448,10.2,10.42,10.44,10.15,128991,133030350.0,2.88,3.37,0.34,2.78
2020-10-09,300448,10.64,10.88,10.88,10.51,161091,171994013.0,3.55,4.41,0.46,3.47
2020-10-12,300448,10.88,11.6,11.75,10.72,355766,401414808.0,9.47,6.62,0.72,7.66
2020-10-13,300448,11.69,11.48,12.15,11.33,362040,421069368.0,7.07,-1.03,-0.12,7.79
2020-10-14,300448,11.31,11.08,11.6,11.0,244373,273417420.0,5.23,-3.48,-0.4,5.26
2020-10-15,300448,11.18,10.98,11.25,10.9,153906,170183927.0,3.16,-0.9,-0.1,3.31
2020-10-16,300448,11.0,11.06,11.13,10.91,125998,138827116.0,2.0,0.73,0.08,2.71
2020-10-19,300448,11.13,11.04,11.38,10.99,163379,182286970.0,3.53,-0.18,-0.02,3.52
2020-10-20,300448,11.07,11.5,11.55,10.91,271758,307907616.0,5.8,4.17,0.46,5.85
2020-10-21,300448,11.45,11.52,11.65,11.31,197129,226077931.0,2.96,0.17,0.02,4.24
2020-10-22,300448,11.4,11.4,11.82,11.32,238176,276263264.0,4.34,-1.04,-0.12,5.13
2020-10-23,300448,11.33,10.64,11.63,10.55,316610,350420944.0,9.47,-6.67,-0.76,6.81
2020-10-26,300448,10.52,11.01,11.08,10.4,214497,232099029.0,6.39,3.48,0.37,4.62
2020-10-27,300448,11.0,11.52,11.78,10.89,401237,460537440.0,8.08,4.63,0.51,8.64
2020-10-28,300448,11.66,11.49,11.73,11.29,283169,325411328.0,3.82,-0.26,-0.03,6.09
2020-10-29,300448,11.36,11.28,11.42,11.14,192549,217706132.0,2.44,-1.83,-0.21,4.14
2020-10-30,300448,11.4,11.74,12.18,11.31,459193,537248960.0,7.71,4.08,0.46,9.88
2020-11-02,300448,11.81,12.0,12.14,11.57,436169,518985904.0,4.86,2.21,0.26,9.39
2020-11-03,300448,12.01,12.11,12.27,11.7,340425,407533808.0,4.75,0.92,0.11,7.33
2020-11-04,300448,12.05,11.74,12.16,11.73,215414,256151065.0,3.55,-3.06,-0.37,4.64
2020-11-05,300448,11.93,12.24,12.46,11.93,371787,454279072.0,4.51,4.26,0.5,8.0
2020-11-06,300448,12.2,12.52,12.86,12.1,427725,535618512.0,6.21,2.29,0.28,9.21
2020-11-09,300448,12.52,12.57,12.78,12.32,383524,480672528.0,3.67,0.4,0.05,8.25
2020-11-10,300448,12.43,11.89,12.43,11.66,342041,409355040.0,6.13,-5.41,-0.68,7.36
2020-11-11,300448,11.65,11.31,11.87,11.3,210079,241188803.0,4.79,-4.88,-0.58,4.52
2020-11-12,300448,11.39,11.33,11.55,11.26,113235,128941955.0,2.56,0.18,0.02,2.44
2020-11-13,300448,11.28,11.41,11.48,11.08,110206,124682419.0,3.53,0.71,0.08,2.37
2020-11-16,300448,11.41,11.25,11.47,11.12,115707,129666005.0,3.07,-1.4,-0.16,2.49
2020-11-17,300448,11.25,11.02,11.25,10.85,116427,127648935.0,3.56,-2.04,-0.23,2.51
2020-11-18,300448,11.07,10.88,11.15,10.79,110617,120613888.0,3.27,-1.27,-0.14,2.38
2020-11-19,300448,10.8,11.06,11.09,10.66,95059,104156085.0,3.95,1.65,0.18,2.05
2020-11-20,300448,11.0,10.93,11.12,10.87,87150,95510808.0,2.26,-1.18,-0.13,1.88
2020-11-23,300448,10.93,10.76,10.99,10.65,104931,113008059.0,3.11,-1.56,-0.17,2.26
2020-11-24,300448,10.69,10.78,10.93,10.67,67945,73539686.0,2.42,0.19,0.02,1.46
